SSBSECT_TERM_CODE	SEMESTER	YEAR	SSBSECT_CRN	SSBSECT_SUBJ_CODE	STVDEPT_DESC	SSBSECT_CRSE_NUMB	SSBSECT_SEQ_NUMB	COURSE	SHORT_TITLE	LONG_TITLE	PRINT_TITLE	TYPE	SCBCRSE_DIVS_CODE	DIVSION_DESC	SCBCRSE_CREDIT_HR_LOW	SCBCRSE_CREDIT_HR_HIGH	DEFAULT_CREDITS	PRINT_CREDITS	SORT_SECTION	XLIST_1	XLIST_DESC_1	XLIST_2	XLIST_DESC_2	XLIST_3	XLIST_DESC_3	XLIST_4	XLIST_DESC_4	SSBSECT_MAX_ENRL	SSBSECT_WAIT_COUNT	SSBSECT_ENRL	SSBSECT_SEATS_AVAIL	SSBSECT_PTRM_CODE	PART_OF_SEMESTER	GRADE_MODE	HAS_FEE	MULTI_LEVEL_WITH	MULTI_LEVEL_PRINT	HAS_FINAL	FY	FOR_WHOM	IS_CP	INSTRUCTOR_LAST	INSTRUCTOR_FIRST	SSRMEET_BEGIN_TIME	SSRMEET_END_TIME	SSRMEET_BLDG_CODE	STVBLDG_DESC	SSRMEET_ROOM_CODE	SSRMEET_MON_DAY	SSRMEET_TUE_DAY	SSRMEET_WED_DAY	SSRMEET_THU_DAY	SSRMEET_FRI_DAY	SSRMEET_SAT_DAY	SSRMEET_SUN_DAY	PRINT_DAYS	PRINT_TIME	DIVISION_CREDIT	SPECIAL_PROGRAM	CRNKEY
202408	FALL	2024	18	PSYC	Psychology	202	0	PSYC 202	Developmental Psychology		Developmental Psychology	College	0004	Social Studies	0	3	3	3	E									20	0	20	0	1	Full Semester 	Graded				N	N	not first semester		Daniels	Jennifer	1035	1200	LEC	Lecture Center	LC		T		R				TR	10:35-12:00 PM	Social Studies	 	20240818
202408	FALL	2024	115	PSYC	Psychology	203	0	PSYC 203	Social Psychology		Social Psychology	College	0004	Social Studies	0	3	3	3	E									20	0	23	-3	1	Full Semester 	Graded				2	N	not first semester		O'Dwyer	Anne	1305	1430	LEC	Lecture Center	LC	M		W					MW	1:05-2:30 PM	Social Studies	 	202408115
202408	FALL	2024	240	PSYC	Psychology	224M	2	PSYC 224M 2	Expressive Arts		Expressive Arts	College	0004	Social Studies	0	2	2	2	E									15	0	8	7	3	MOD2	Graded	$LOW			1	N	not first semester		Schorr	Marney	0900	1155	DAC	Daniel Arts Center	125					F			F	9:00-11:55 AM	Social Studies	 	202408240
202408	FALL	2024	17	PSYC	Psychology	252	0	PSYC 252	Abnormal Psychology		Abnormal Psychology	College	0004	Social Studies	0	3	3	3	E									20	0	6	14	1	Full Semester 	Graded				N	N	not first semester		Daniels	Jennifer	0900	1025	CL1	Classroom Bldg 1 (by Library)	02		T		R				TR	9:00-10:25 AM	Social Studies	 	20240817
202408	FALL	2024	370	PSYC	Psychology	300T	AO	PSYC 300T AO	Psychology Tutorial		Research Methods II	College	0004	Social Studies	0	4	4	4	E									5	0	1	4	3	MOD2	Graded						 		O'Dwyer	Anne														-	Social Studies	 	202408370
202408	FALL	2024	19	PSYC	Psychology	330	0	PSYC 330	Child/Adol Psychopathology	Child and Adolescent Psychopathology and Treatment Methods	Child and Adolescent Psychopathology and Treatment Methods	College	0004	Social Studies	0	4	4	4	E									15	0	11	4	1	Full Semester 	Graded				N	N	not first semester		Daniels	Jennifer	0900	1155	CL3	Classroom Bldg 3 (by Lec Ctr)	13	M							M	9:00-11:55 AM	Social Studies	 	20240819
202408	FALL	2024	328	PSYC	Psychology	400T	JD	PSYC 400T JD	Psychology Tutorial		Autobiographies of Madness	College	0004	Social Studies	0	4	4	4	E									5	0	2	3	1	Full Semester 	Graded						 		Daniels	Jennifer														-	Social Studies	 	202408328
202408	FALL	2024	24	QL	Queer Leadership	101M	2	QL 101M 2	CP LGBTQ+ College Communities	CP LGBTQ+ College Communities: Past, Present, Future	CP LGBTQ+ College Communities: Past, Present, Future	College	0005	Interdivisional	0	2	2	2	E									15	0	6	9	3	MOD2	Graded				N	Y	first semester	CP	Weinstein	John	1440	1605	CL3	Classroom Bldg 3 (by Lec Ctr)	11	M		W					MW	2:40-4:05 PM	Social Studies	 	20240824
202408	FALL	2024	73	SART	Studio Arts	106	A	SART 106 A	Intro to Ceramics	Introduction to Ceramics	Introduction to Ceramics	College	0001	Arts	0	3	3	3	E									12	0	5	7	1	Full Semester 	Graded	$HIGH			N	Y	first semester		Krupka	Ben	1305	1430	DAC	Daniel Arts Center	072	M		W					MW	1:05-2:30 PM	Arts	 	20240873
202408	FALL	2024	74	SART	Studio Arts	106	B	SART 106 B	Intro to Ceramics	Introduction to Ceramics	Introduction to Ceramics	College	0001	Arts	0	3	3	3	E									12	0	9	3	1	Full Semester 	Graded	$HIGH			N	Y	first semester		Krupka	Ben	1440	1605	DAC	Daniel Arts Center	072	M		W					MW	2:40-4:05 PM	Arts	 	20240874
