,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
44,203,THEA 103/203,"Foundations of Acting: Action, Movement & Character",3,TR 1:05-2:30 PM in DAC-002,Sara Katzoff,FY,15,4,0
45,156,THEA 108/208/308,Costume Design & Execution,3/4,TR 1:05-2:30 PM in DAC-018,George Veale,FY,12,4,0
46,194,SPAN 204,Intermediate Spanish I: Perspectives of Latin America,3,TR 1:05-2:30 PM in LIE-02,Daniel Giraldo-Wonders,WP,15,5,0
47,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
48,97,NATS 116,Forensic Science,4,R 1:05-4:05 PM and MW 2:40-4:05 PM in FSH-202,Susan Mechanic-Meyers,FY,15,9,0
49,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
50,29,FS 100 E,(CLOSED)Seminar I,4,TR 2:40-4:05 PM in CL3-09,Jeff Walton,FY,14,15,0
51,108,MUS 227/327,CP Music in World Cultures,3/4,TR 2:40-4:05 PM in DAC-128,John Myers,FY,15,8,0
52,169,PSYC 105M 1,Restorative Horticulture,2,TR 2:40-4:05 PM in FAR-MAIN,Brian Mikesell,FY,15,7,0
53,155,SART 119M 2,(CLOSED)Leathercraft,2,TR 2:40-4:05 PM in DAC-018,George Veale,FY,8,8,1
54,75,SART 208,Ceramic Sculpture Studio,3,TR 2:40-4:05 PM in DAC-072,Ben Krupka,,12,4,0
55,154,SART 219M 1,Leathercraft II,2,TR 2:40-4:05 PM in DAC-018,George Veale,,8,4,0
56,76,SART 367/467,Advanced Ceramic Studio,4,TR 2:40-4:05 PM in DAC-072,Ben Krupka,,12,1,0
57,37,CHIN 305,Advanced Chinese I,4,TF 2:40-4:05 PM in CL1-04,Ying Wang,WP,15,4,0
58,34,ESL 100,English for Academic Success 1,3,TR 2:40-4:05 PM in HCC-CONF,Mark Hopkins,FY,15,4,0
59,41,FREN 204,Intermediate French  I,3,TR 2:40-4:05 PM in CL3-10,Colette van Kerckvoorde,WP,15,4,0
60,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
61,137,BIO 100L B,(CLOSED)Introduction to Biology Lab,0,T 2:40-5:35 PM in FSH-202,Daniel Wendekier,FY,15,15,0
62,94,BIO 200,General Botany,4,WF 10:05-11:30 AM and R 2:40-5:35 PM in FSH-211,Donald McClelland,,15,3,0
63,127,BIO 330,Herpetology,4,TR 1:05-2:30 PM and T 2:40-5:35 PM in FSH-211,Sarah Snyder,,14,5,0
64,138,CHEM 100L D,Chemistry I Lab,0,R 2:40-5:35 PM in FSH-128,Daniel Wendekier,WP,10,8,0
65,122,CHEM 312,Biochemistry,4,TR 9:00-10:25 AM in FSH-112 and T 2:40-5:35 PM in FSH-128,Jessica Robbins,,10,3,0
66,93,ENVS 100,Introduction to Environmental Studies,4,TR 9:00-10:25 AM in FSH-211 and T 2:40-5:35 PM in FSH-211A,Donald McClelland,FY,15,7,0
67,71,PHYS 100L A,Physics I Lab,0,T 2:40-5:35 PM in FSH-113,Eric Kramer,WP,18,10,0
68,3,PHYS 230,Modern Physics Laboratory,1,R 2:40-5:35 PM in FSH-113,Sameer Hamadna,WP,16,5,0
69,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
70,133,FS 100 F,(CLOSED)Seminar I,4,TR 4:15-5:40 PM in DAC-128,Dien Vo,FY,14,15,0
71,247,LIT 100,Guest Writers,2 p/f,TR 4:15-5:40 PM in HCC-CONF,Fiona Wilson,FY,15,3,0
72,46,LIT 243,WCP Tales of the Fantastic in the Hispanophone World,3,TR 4:15-5:40 PM in CL3-13,David Franco Arabia,FY,15,7,0
73,151,PHOT 101/201,Darkroom Photography I,3,TR 4:15-5:40 PM in DAC-025,Em Rooney,FY,12,8,0
74,117,SOC 115,"(CLOSED)CP Race, Ethnicity, Class, and Gender",3,TR 4:15-5:40 PM in CL1-03,Francisca Oyogoa,FY,15,16,0
75,260,CHIN 220/320,CP Masterpieces of Chinese Fiction,3/4,TR 4:15-5:40 PM in CL3-12,Ying Wang,WP,15,10,0
76,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
77,65,THEA 206/306/406,Theater Production,3/4,MTR 6:05-9:00 PM in DAC-001,Aimee Michel,WP,15,10,0
78,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
79,85,MUS 289,Chamber Orchestra,1 p/f,R 7:00-8:30 PM in KLG-,Anne Legene,FY,20,6,0
80,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
81,111,MUS 222,Jazz Ensemble,1 p/f,T 7:30-9:00 PM in KLG-,John Myers,FY,30,9,0
